EMPID,name,email,phone,salary
AJACS0,Don Martin,grahamjohn@example.org,600-085-1884,3470390
AJACS1,Sue Zhang,mburton@example.org,+1-395-395-1874x07855,3620314
AJACS2,Laura Harrell,debrahamilton@example.net,688.479.5052x004,1251614
AJACS3,Matthew Thomas,diana08@example.org,+1-346-321-7195,3584674
AJACS4,Roberta Harris,nlee@example.com,001-780-341-8768x0549,1848672
AJACS5,Charles Patton,leemay@example.com,6557842014,2245504
AJACS6,Jillian Martinez,susan81@example.net,969-231-7942x3698,2361505
AJACS7,Vincent Vincent,ubird@example.net,1167885262,2971948
AJACS8,Tonya Klein,christophermartinez@example.com,001-202-677-4270x2094,3996846
AJACS9,Candice Medina,russell93@example.com,(123)598-5894x7244,4225718
